timestamp,coverage,quality,coverage_variance,quality_variance,coverage_min,coverage_max,quality_min,quality_max,
2.2,0,0.989481,0,0,0,0,0.989481,0.989481,
4.2,0.0783055,0.966375,0,0,0.0783055,0.0783055,0.966375,0.966375,
6.2,0.100128,0.949354,0,0,0.100128,0.100128,0.949354,0.949354,
8.4,0.18389,0.937781,0,0,0.18389,0.18389,0.937781,0.937781,
10.6,0.21181,0.923366,0,0,0.21181,0.21181,0.923366,0.923366,
12.8,0.239409,0.912657,0,0,0.239409,0.239409,0.912657,0.912657,
15,0.267009,0.905415,0,0,0.267009,0.267009,0.905415,0.905415,
17.2,0.295892,0.887129,0,0,0.295892,0.295892,0.887129,0.887129,
19.4,0.325899,0.851368,0,0,0.325899,0.325899,0.851368,0.851368,
21.6,0.354782,0.820713,0,0,0.354782,0.354782,0.820713,0.820713,
23.8,0.392972,0.797514,0,0,0.392972,0.392972,0.797514,0.797514,
26,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
28.2,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
30.4,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
32.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
34.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
36.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
38.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
40.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
42.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
44.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
46.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
48.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
50.6,0.392972,0.782488,0,0,0.392972,0.392972,0.782488,0.782488,
52.6,0.40292,0.763512,0,0,0.40292,0.40292,0.763512,0.763512,
54.6,0.40629,0.757192,0,0,0.40629,0.40629,0.757192,0.757192,
56.6,0.411746,0.74859,0,0,0.411746,0.411746,0.74859,0.74859,
58.6,0.412709,0.739682,0,0,0.412709,0.412709,0.739682,0.739682,
60.6,0.415757,0.732126,0,0,0.415757,0.415757,0.732126,0.732126,
62.6,0.417522,0.725956,0,0,0.417522,0.417522,0.725956,0.725956,
64.6,0.418004,0.722458,0,0,0.418004,0.418004,0.722458,0.722458,
66.6,0.419448,0.716059,0,0,0.419448,0.419448,0.716059,0.716059,
68.6,0.425064,0.707648,0,0,0.425064,0.425064,0.707648,0.707648,
70.6,0.430039,0.6993,0,0,0.430039,0.430039,0.6993,0.6993,
72.6,0.441431,0.689131,0,0,0.441431,0.441431,0.689131,0.689131,
74.6,0.450257,0.683937,0,0,0.450257,0.450257,0.683937,0.683937,
76.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
78.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
80.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
82.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
84.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
86.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
88.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
90.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
92.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
94.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
96.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
98.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
100.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
102.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
104.6,0.459403,0.678137,0,0,0.459403,0.459403,0.678137,0.678137,
106.6,0.473203,0.664222,0,0,0.473203,0.473203,0.664222,0.664222,
108.6,0.492298,0.65686,0,0,0.492298,0.492298,0.65686,0.65686,
110.6,0.504012,0.646759,0,0,0.504012,0.504012,0.646759,0.646759,
112.6,0.517169,0.637346,0,0,0.517169,0.517169,0.637346,0.637346,
114.6,0.529365,0.627091,0,0,0.529365,0.529365,0.627091,0.627091,
116.6,0.541881,0.6175,0,0,0.541881,0.541881,0.6175,0.6175,
118.6,0.555841,0.603992,0,0,0.555841,0.555841,0.603992,0.603992,
120.6,0.56595,0.58582,0,0,0.56595,0.56595,0.58582,0.58582,
122.6,0.574615,0.567749,0,0,0.574615,0.574615,0.567749,0.567749,
124.6,0.581675,0.555824,0,0,0.581675,0.581675,0.555824,0.555824,
126.6,0.584243,0.549958,0,0,0.584243,0.584243,0.549958,0.549958,
128.8,0.589859,0.545551,0,0,0.589859,0.589859,0.545551,0.545551,
131,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
133.2,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
135.4,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
137.6,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
139.8,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
142,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
144.2,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
146.4,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
148.6,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
150.8,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
153,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
155.2,0.591945,0.540493,0,0,0.591945,0.591945,0.540493,0.540493,
157.4,0.605263,0.529622,0,0,0.605263,0.605263,0.529622,0.529622,
159.6,0.61473,0.525745,0,0,0.61473,0.61473,0.525745,0.525745,
161.8,0.617619,0.521928,0,0,0.617619,0.617619,0.521928,0.521928,
164,0.620668,0.517927,0,0,0.620668,0.620668,0.517927,0.517927,
166.2,0.622112,0.513135,0,0,0.622112,0.622112,0.513135,0.513135,
168.4,0.625963,0.508301,0,0,0.625963,0.625963,0.508301,0.508301,
170.6,0.628851,0.503143,0,0,0.628851,0.628851,0.503143,0.503143,
172.8,0.631418,0.497918,0,0,0.631418,0.631418,0.497918,0.497918,
175,0.632702,0.49298,0,0,0.632702,0.632702,0.49298,0.49298,
177.2,0.638158,0.484478,0,0,0.638158,0.638158,0.484478,0.484478,
179.4,0.650834,0.470577,0,0,0.650834,0.650834,0.470577,0.470577,
181.6,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
183.8,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
186,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
188.2,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
190.4,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
192.6,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
194.8,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
197,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
199.2,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
201.4,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
203.6,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
205.8,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
208,0.661585,0.466796,0,0,0.661585,0.661585,0.466796,0.466796,
210.2,0.683569,0.453366,0,0,0.683569,0.683569,0.453366,0.453366,
212.4,0.704429,0.448099,0,0,0.704429,0.704429,0.448099,0.448099,
214.6,0.710687,0.442742,0,0,0.710687,0.710687,0.442742,0.442742,
216.8,0.71534,0.43657,0,0,0.71534,0.71534,0.43657,0.43657,
219,0.727214,0.422567,0,0,0.727214,0.727214,0.422567,0.422567,
221.2,0.738928,0.408356,0,0,0.738928,0.738928,0.408356,0.408356,
223.4,0.747754,0.398119,0,0,0.747754,0.747754,0.398119,0.398119,
225.6,0.757863,0.386685,0,0,0.757863,0.757863,0.386685,0.386685,
227.8,0.776316,0.366741,0,0,0.776316,0.776316,0.366741,0.366741,
230,0.779365,0.358453,0,0,0.779365,0.779365,0.358453,0.358453,
232.2,0.783376,0.353553,0,0,0.783376,0.783376,0.353553,0.353553,
234.4,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
236.6,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
238.8,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
241,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
243.2,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
245.4,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
247.6,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
249.8,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
252,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
254.2,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
256.4,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
258.6,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
260.8,0.785783,0.350255,0,0,0.785783,0.785783,0.350255,0.350255,
263,0.79172,0.336736,0,0,0.79172,0.79172,0.336736,0.336736,
265.2,0.805359,0.329594,0,0,0.805359,0.805359,0.329594,0.329594,
267.4,0.810013,0.322564,0,0,0.810013,0.810013,0.322564,0.322564,
269.6,0.817234,0.316215,0,0,0.817234,0.817234,0.316215,0.316215,
271.8,0.825899,0.309414,0,0,0.825899,0.825899,0.309414,0.309414,
274,0.843068,0.294385,0,0,0.843068,0.843068,0.294385,0.294385,
276.2,0.850931,0.284153,0,0,0.850931,0.850931,0.284153,0.284153,
278.4,0.862484,0.272379,0,0,0.862484,0.862484,0.272379,0.272379,
280.6,0.868582,0.265087,0,0,0.868582,0.868582,0.265087,0.265087,
282.8,0.870026,0.259902,0,0,0.870026,0.870026,0.259902,0.259902,
285,0.870026,0.253594,0,0,0.870026,0.870026,0.253594,0.253594,
287.2,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
289.4,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
291.6,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
293.8,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
296,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
298.2,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
300.4,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
302.6,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
304.8,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
307,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
309.2,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
311.4,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
313.6,0.879974,0.249543,0,0,0.879974,0.879974,0.249543,0.249543,
315.8,0.890244,0.232803,0,0,0.890244,0.890244,0.232803,0.232803,
318,0.892651,0.227087,0,0,0.892651,0.892651,0.227087,0.227087,
320.2,0.896983,0.21929,0,0,0.896983,0.896983,0.21929,0.21929,
322.4,0.914474,0.202147,0,0,0.914474,0.914474,0.202147,0.202147,
324.6,0.920732,0.195458,0,0,0.920732,0.920732,0.195458,0.195458,
326.8,0.926669,0.187837,0,0,0.926669,0.926669,0.187837,0.187837,
329,0.933408,0.180705,0,0,0.933408,0.933408,0.180705,0.180705,
