yaw,yaw_coverage,circle_coverage,yaw_error_left,yaw_error_right,
0,0.798559,0.790999,0.667932,0.667761,
0.392699,0.795119,0.790999,0.675169,0.678818,
0.785398,0.785706,0.790999,0.669175,0.673979,
1.1781,0.800468,0.790999,0.681661,0.676114,
1.5708,0.807058,0.790999,0.673765,0.673086,
1.9635,0.813189,0.790999,0.658198,0.680916,
2.35619,0.82005,0.790999,0.678079,0.677056,
2.74889,0.80931,0.790999,0.679051,0.660921,
3.14159,0.79856,0.790999,0.667764,0.667928,
3.53429,0.794887,0.790999,0.674796,0.679006,
3.92699,0.785675,0.790999,0.668707,0.674467,
4.31969,0.800827,0.790999,0.680896,0.677028,
4.71239,0.807055,0.790999,0.673081,0.673764,
5.10509,0.81363,0.790999,0.657766,0.681595,
5.49779,0.819994,0.790999,0.67769,0.677194,
5.89049,0.809442,0.790999,0.678764,0.661294,
