yaw,yaw_coverage,circle_coverage,yaw_error_left,yaw_error_right,
0,0.760649,0.731663,0.603874,0.604014,
0.392699,0.75605,0.731663,0.590771,0.608294,
0.785398,0.759503,0.731663,0.608795,0.606904,
1.1781,0.750112,0.731663,0.608906,0.593851,
1.5708,0.738141,0.731663,0.599214,0.597594,
1.9635,0.74012,0.731663,0.602919,0.607604,
2.35619,0.744006,0.731663,0.604536,0.60716,
2.74889,0.754074,0.731663,0.608841,0.60058,
3.14159,0.760646,0.731663,0.604013,0.60387,
3.53429,0.757136,0.731663,0.590328,0.608523,
3.92699,0.75943,0.731663,0.607873,0.607861,
4.31969,0.749444,0.731663,0.607761,0.595146,
4.71239,0.738139,0.731663,0.597597,0.599212,
5.10509,0.740063,0.731663,0.601262,0.609071,
5.49779,0.743936,0.731663,0.603325,0.608585,
5.89049,0.754471,0.731663,0.607975,0.601381,
