id,planning_method,path_length,found_solution,
0,circle_goal,2720.78,1,
1,circle_goal,1488.25,1,
2,circle_goal,8163.87,1,
3,circle_goal,210.321,1,
4,circle_goal,1884.27,1,
5,circle_goal,9839.34,1,
6,circle_goal,9863.28,1,
7,circle_goal,11109.7,1,
8,circle_goal,5651.71,1,
9,circle_goal,10261.5,1,
0,yaw_goal,32851.4,1,
1,yaw_goal,3220.16,1,
2,yaw_goal,20676.2,1,
3,yaw_goal,17231.6,1,
4,yaw_goal,47320,1,
5,yaw_goal,32288.5,1,
6,yaw_goal,29550.8,1,
7,yaw_goal,17519.4,1,
8,yaw_goal,18749,1,
9,yaw_goal,23892.9,1,
