yaw,yaw_coverage,circle_coverage,yaw_error_left,yaw_error_right,
0,0.772509,0.770056,0.692347,0.692699,
0.392699,0.775598,0.770056,0.695702,0.699099,
0.785398,0.775986,0.770056,0.697137,0.695833,
1.1781,0.779613,0.770056,0.699418,0.692407,
1.5708,0.780503,0.770056,0.697525,0.694681,
1.9635,0.77944,0.770056,0.691492,0.696729,
2.35619,0.78313,0.770056,0.699575,0.696296,
2.74889,0.778392,0.770056,0.700252,0.690295,
3.14159,0.772507,0.770056,0.692692,0.692348,
3.53429,0.776317,0.770056,0.695405,0.699493,
3.92699,0.776278,0.770056,0.695769,0.697487,
4.31969,0.778936,0.770056,0.696974,0.694863,
4.71239,0.780503,0.770056,0.694678,0.697526,
5.10509,0.779841,0.770056,0.688374,0.699723,
5.49779,0.782972,0.770056,0.697061,0.698675,
5.89049,0.778555,0.770056,0.698346,0.692228,
