id,planning_method,path_length,found_solution,
0,circle_goal,6102.74,1,
1,circle_goal,6947.6,1,
2,circle_goal,4007.17,1,
3,circle_goal,4429.67,1,
4,circle_goal,8617.32,1,
5,circle_goal,6523.88,1,
6,circle_goal,7778.14,1,
7,circle_goal,1914.45,1,
8,circle_goal,3174.04,1,
9,circle_goal,11155,1,
0,yaw_goal,13419.8,1,
1,yaw_goal,3673.93,1,
2,yaw_goal,9316.56,1,
3,yaw_goal,2584.68,1,
4,yaw_goal,6003.24,1,
5,yaw_goal,6296.1,1,
6,yaw_goal,15580.3,1,
7,yaw_goal,2457.75,1,
8,yaw_goal,5371.82,1,
9,yaw_goal,4699.4,1,
