id,x,y,z,qw, qx, qy, qz, padding,
0,279.35,-441.356,-49.1507,0.984807,-0.0662175,0.0277323,-0.158116,0,
1,84.3504,-331.356,11.4371,0.928703,0.176978,0.249704,-0.209374,0,
2,274.35,-476.356,-39.1574,0.996089,-0.0728969,0.0491602,0.00868008,0,
3,64.3504,-286.356,6.85854,0.985554,0.0462391,-0.09644,-0.131322,0,
4,104.35,-146.356,-20.7367,0.941985,0.247694,0.0218281,0.225466,0,
5,149.35,-176.356,-18.9232,0.999952,0.00336087,0.000633334,-0.00923197,0,
6,74.3504,-186.356,-18.9664,0.989135,-0.0963747,-0.0172813,0.109661,0,
7,94.3504,-211.356,-24.9955,0.992378,0.079125,-0.0133332,0.0935289,0,
8,274.35,-266.356,-15.409,0.961955,-0.252694,-0.0935549,0.0451238,0,
9,269.35,-251.356,-8.47823,0.999018,-0.00697286,-0.0275906,0.0339716,0,
10,-0.649641,-471.356,18.618,0.98082,-0.0706465,-0.110722,-0.144018,0,
11,54.3504,-121.356,-11.3486,0.944685,-0.232461,0.231101,-0.0111367,0,
12,-10.6496,-336.356,16.4035,0.949462,0.205297,-0.0113643,0.237163,0,
13,69.3504,-306.356,8.1973,0.923881,-0.183607,0.242156,-0.232577,0,
14,4.35036,-71.3557,8.41454,0.965203,0.0530979,-0.202483,-0.156728,0,
15,319.35,-351.356,-37.4951,0.98821,-0.12055,-0.0188507,-0.0924799,0,
16,4.35036,-411.356,18.4141,0.92994,0.132761,0.219643,0.26333,0,
17,329.35,-431.356,-28.3631,0.994834,-0.0716817,0.0530924,-0.0484646,0,
18,109.35,-161.356,-27.091,0.985115,-0.017733,-0.0843322,0.148735,0,
19,34.3504,-206.356,16.0037,0.992594,-0.0273341,-0.0924938,0.0738601,0,
20,289.35,-361.356,-42.2163,0.997719,-0.0446979,-0.0396696,-0.0313915,0,
21,234.35,-366.356,-42.4692,0.945852,0.175701,0.145625,-0.230837,0,
22,319.35,-351.356,-37.4951,0.998187,0.0197096,0.0352184,-0.0446629,0,
23,354.35,-471.356,-36.4725,0.970165,0.0246571,-0.178081,-0.162663,0,
24,64.3504,-226.356,3.86232,0.959873,-0.197928,0.196062,0.0320756,0,
25,139.35,-271.356,-27.1589,0.959284,-0.00611806,-0.0292477,0.280858,0,
26,304.35,-366.356,-41.0619,0.964943,0.122421,-0.17567,-0.151782,0,
27,4.35036,-201.356,25.3835,0.965212,0.232085,-0.00286384,-0.120394,0,
28,329.35,-131.356,15.0794,0.994267,0.0461718,0.0367695,0.0891577,0,
29,69.3504,-341.356,18.6572,0.955089,0.116903,0.0164795,-0.271785,0,
30,234.35,-171.356,1.09404,0.928369,-0.106834,0.262574,-0.240359,0,
31,314.35,-191.356,5.33389,0.937963,0.0332037,-0.31737,-0.13564,0,
32,209.35,-111.356,7.57446,0.970678,-0.120903,-0.147228,-0.1466,0,
