id,x,y,z,qw, qx, qy, qz, padding,
0,279.35,-441.356,-71.3732,0.999102,-0.00509054,0.0290238,-0.0304527,0,
1,304.35,-361.356,-66.468,0.959685,-0.182197,0.205643,0.0593326,0,
2,39.3504,-281.356,23.8374,0.999818,-0.000237049,0.0174646,-0.00766458,0,
3,249.35,-436.356,-2.97815,0.943448,-0.243603,-0.0140934,0.22442,0,
4,349.35,-96.3557,0.614754,0.932459,0.249435,0.217628,-0.144706,0,
5,154.35,-341.356,20.5858,0.943301,0.187966,-0.183504,0.202923,0,
6,24.3504,-251.356,-11.1455,0.952652,-0.0882866,0.110134,0.269314,0,
7,204.35,-446.356,25.1054,0.999905,0.00576179,-0.00912909,-0.00851831,0,
8,249.35,-321.356,-40.1512,0.976952,0.171707,0.122963,-0.0310169,0,
9,169.35,-121.356,38.0151,0.989526,-0.0552115,0.118055,-0.0620767,0,
10,79.3504,-131.356,-49.3507,0.981533,-0.106516,0.112684,-0.112024,0,
11,109.35,-371.356,48.3239,0.949462,0.205297,-0.0113643,0.237163,0,
12,69.3504,-306.356,58.1967,0.973158,-0.12211,0.11728,-0.155879,0,
13,129.35,-446.356,7.42107,0.947845,0.288422,-0.127121,0.0473509,0,
14,69.3504,-286.356,14.694,0.956342,0.133598,0.0694973,-0.250462,0,
15,-15.6496,-411.356,56.7955,0.991423,-0.000760717,-0.0932435,0.091573,0,
16,269.35,-326.356,-53.3361,0.977835,0.169894,-0.053091,0.110251,0,
17,84.3504,-291.356,16.2508,0.939727,-0.0433217,-0.144442,0.306877,0,
18,269.35,-411.356,-53.7937,0.98829,-0.080756,0.120873,-0.0463862,0,
19,224.35,-331.356,-24.3878,0.983626,-0.073741,0.103307,-0.127948,0,
20,324.35,-286.356,-11.4048,0.949526,0.290542,0.103443,-0.0573204,0,
21,229.35,-186.356,-52.2622,0.967123,-0.119022,-0.220216,-0.0448505,0,
22,94.3504,-116.356,38.8165,0.947029,0.210421,-0.172359,0.170734,0,
23,169.35,-426.356,-15.5651,0.959284,-0.00611806,-0.0292477,0.280858,0,
24,304.35,-366.356,-7.24853,0.98453,-0.132583,-0.114554,-0.000607522,0,
25,9.35036,-451.356,59.1017,0.999995,0.00201709,0.00129161,-0.00194135,0,
26,109.35,-111.356,-24.2531,0.948885,0.0511543,-0.305842,-0.0588254,0,
27,19.3504,-131.356,-37.3398,0.998978,-0.00941618,0.0420967,-0.0134749,0,
28,229.35,-471.356,-34.1353,0.925497,-0.241063,-0.233493,0.175572,0,
29,-15.6496,-251.356,24.5792,0.95915,-0.197315,-0.194575,-0.0569011,0,
30,334.35,-91.3557,43.3213,0.998983,0.0430381,-0.0101284,-0.00888526,0,
31,174.35,-431.356,5.39417,0.995641,0.0206395,-0.0571457,0.0707623,0,
32,269.35,-266.356,-27.3121,0.95619,-0.118219,0.239026,0.120797,0,
33,239.35,-411.356,-34.6278,0.953391,-0.132409,-0.214048,-0.166425,0,
34,209.35,-161.356,2.73861,0.928201,0.173357,0.170531,0.28162,0,
35,94.3504,-446.356,11.9504,0.993443,-0.0936909,0.00625114,0.0652257,0,
36,84.3504,-216.356,-50.6698,0.933456,0.27564,-0.117295,0.197291,0,
37,239.35,-71.3557,52.5181,0.96881,0.0886148,-0.0934716,-0.211704,0,
38,164.35,-131.356,32.3071,0.970717,0.0581783,-0.113659,-0.203485,0,
39,149.35,-446.356,14.1302,0.941112,0.228019,0.239048,0.071909,0,
40,134.35,-426.356,44.8923,0.973295,-0.208773,0.0918635,-0.0259064,0,
41,199.35,-341.356,-27.4291,0.999542,-0.0180482,0.00405562,-0.0239697,0,
42,169.35,-116.356,27.5545,0.9959,-0.0323714,0.0112589,0.0837215,0,
43,139.35,-361.356,-4.45136,0.999842,-0.0111702,0.00995458,0.00960408,0,
44,4.35036,-326.356,14.7865,0.96233,0.163631,0.162275,0.144264,0,
45,-5.64964,-266.356,70.0546,0.969314,0.0265204,-0.177108,-0.168401,0,
46,204.35,-206.356,3.73873,0.970701,0.0253231,0.16074,-0.176809,0,
47,214.35,-116.356,17.7172,0.990401,0.0292267,-0.133828,0.0184666,0,
48,4.35036,-71.3557,47.1342,0.942657,-0.329389,-0.0524089,-0.0123715,0,
49,19.3504,-191.356,44.7847,0.999819,0.00687492,-0.0135262,0.0114376,0,
50,249.35,-146.356,21.1943,0.967844,0.14607,0.106599,-0.174865,0,
51,9.35036,-336.356,-22.3382,0.99652,0.00137503,0.0244318,0.079682,0,
52,194.35,-81.3557,-4.81142,0.924489,-0.320201,0.0162388,-0.206225,0,
53,229.35,-336.356,-8.36028,0.987846,0.0587765,0.130587,-0.0604367,0,
54,334.35,-311.356,-57.7696,0.95945,-0.0421608,0.209079,-0.184292,0,
55,134.35,-176.356,-24.7311,0.969447,0.240407,0.0149652,0.0464093,0,
56,349.35,-291.356,-56.9085,0.999842,-0.00624659,-0.0121653,0.0113497,0,
57,274.35,-206.356,15.8091,0.928667,-0.25427,-0.25964,-0.0742372,0,
58,259.35,-171.356,41.0559,0.996174,0.00483311,0.0500447,0.0714789,0,
59,354.35,-76.3557,47.6682,0.968555,0.00435755,-0.0191304,-0.248026,0,
60,264.35,-101.356,-22.253,0.935009,0.262149,-0.238206,-0.0171589,0,
61,74.3504,-371.356,55.4706,0.939157,-0.259882,-0.146794,-0.169993,0,
62,-0.649641,-141.356,53.1266,0.963456,-0.167727,0.203718,-0.0460287,0,
63,324.35,-121.356,36.5496,0.954504,-0.234013,-0.0506833,0.177738,0,
64,309.35,-381.356,-50.1698,0.97445,0.0270565,0.194188,0.10957,0,
65,324.35,-256.356,-0.717684,0.948544,0.159541,-0.190011,-0.196741,0,
66,129.35,-226.356,-28.7955,0.997312,-0.0440493,-0.0106123,-0.0575916,0,
67,49.3504,-106.356,40.1457,0.96261,0.215175,0.139203,0.0877703,0,
68,344.35,-346.356,-65.3128,0.961153,0.156418,-0.142689,-0.177084,0,
69,19.3504,-111.356,-28.1039,0.972319,0.095499,-0.0709248,-0.201109,0,
70,244.35,-126.356,49.9826,0.978068,-0.0912886,-0.0678695,-0.174478,0,
71,64.3504,-321.356,-30.1156,0.955791,-0.200742,-0.1969,-0.0860031,0,
72,24.3504,-201.356,48.9929,0.980828,-0.0996631,-0.131149,-0.10413,0,
73,24.3504,-246.356,13.7375,0.986741,0.116934,0.107745,-0.0325536,0,
74,284.35,-266.356,-42.4214,0.969471,0.181245,-0.146102,0.0770108,0,
75,-5.64964,-86.3557,51.8711,0.973685,-0.21527,-0.0157314,-0.0731404,0,
76,284.35,-236.356,10.4118,0.990445,0.1301,-0.0276833,0.0364071,0,
77,254.35,-71.3557,10.747,0.978639,-0.0890131,0.163299,0.0876114,0,
78,49.3504,-106.356,-1.14634,0.985682,0.152036,0.066902,0.0289987,0,
79,194.35,-126.356,46.1787,0.953272,-0.190157,0.175518,-0.155903,0,
80,-10.6496,-376.356,-33.1224,0.939024,-0.187964,-0.188738,0.217443,0,
81,329.35,-326.356,-38.9447,0.996804,0.0591662,0.0111667,-0.052507,0,
82,209.35,-261.356,21.5967,0.951841,-0.195123,-0.182813,0.15002,0,
83,164.35,-466.356,-13.0564,0.994989,-0.0412338,0.0430631,-0.0802641,0,
84,99.3504,-296.356,15.1352,0.998611,0.0364012,-0.0367427,0.0100939,0,
85,284.35,-186.356,-45.9756,0.987921,0.0821792,-0.103026,0.0815112,0,
